SubjectID,Trial,Coherence,Direction,Response,RT
978,1,2.400000e-01,0,1,2.409234e+00
978,2,1.200000e-01,180,1,8.258669e-01
978,3,2.400000e-01,180,1,9.006820e-01
978,4,4.800000e-01,0,1,5.755770e-01
978,5,6.000000e-02,180,1,1.000589e+00
978,6,2.400000e-01,0,1,3.484614e+00
978,7,4.800000e-01,180,1,7.508950e-01
978,8,4.800000e-01,180,1,7.675109e-01
978,9,2.400000e-01,0,1,6.091261e-01
978,10,1,180,1,6.341519e-01
978,11,6.000000e-02,0,1,1.959337e+00
978,12,4.800000e-01,180,1,7.592211e-01
978,13,1,0,1,5.506601e-01
978,14,4.800000e-01,180,1,6.678631e-01
978,15,1.200000e-01,0,1,8.424270e-01
978,16,1.200000e-01,0,0,1.017515e+00
978,17,6.000000e-02,0,0,1.659003e+00
978,18,6.000000e-02,0,1,8.258090e-01
978,19,2.400000e-01,0,1,1.709310e+00
978,20,1,0,1,6.840351e-01
978,21,1.200000e-01,0,1,3.834423e+00
978,22,4.800000e-01,0,1,6.755929e-01
978,23,1,0,1,6.006031e-01
978,24,6.000000e-02,180,0,2.959311e+00
978,25,4.800000e-01,0,1,9.505751e-01
978,26,1,180,1,2.876172e+00
978,27,2.400000e-01,180,1,1.035292e+00
978,28,1,0,1,1.884413e+00
978,29,1.200000e-01,180,1,9.759910e-01
978,30,4.800000e-01,0,1,7.510309e-01
978,31,1.200000e-01,180,1,9.435470e-01
978,32,6.000000e-02,180,1,1.493003e+00
978,33,6.000000e-02,180,1,2.417972e+00
978,34,2.400000e-01,180,1,7.343481e-01
978,35,6.000000e-02,0,0,1.209140e+00
978,36,1,180,1,1.184318e+00
978,37,1,180,1,8.599088e-01
978,38,1,180,1,9.348719e-01
978,39,1.200000e-01,0,0,2.084701e+00
978,40,4.800000e-01,180,1,8.338952e-01
978,41,4.800000e-01,0,1,6.925781e-01
978,42,1.200000e-01,180,1,7.175860e-01
978,43,6.000000e-02,180,0,2.901193e+00
978,44,2.400000e-01,180,1,6.841788e-01
978,45,6.000000e-02,0,0,1.476884e+00
978,46,2.400000e-01,0,1,1.342384e+00
978,47,1.200000e-01,0,1,1.550691e+00
978,48,1.200000e-01,180,0,1.109043e+00
978,49,2.400000e-01,180,1,9.261811e-01
978,50,1,0,1,8.005588e-01
