SubjectID,Trial,Coherence,Direction,Response,RT
Gb240,1,4.800000e-01,180,1,1.142395e+00
Gb240,2,2.400000e-01,0,1,9.507039e-01
Gb240,3,2.400000e-01,180,1,8.756821e-01
Gb240,4,2.400000e-01,180,1,1.117500e+00
Gb240,5,1.200000e-01,180,1,1.484532e+00
Gb240,6,6.000000e-02,180,1,3.409544e+00
Gb240,7,1.200000e-01,0,1,2.559584e+00
Gb240,8,2.400000e-01,0,0,1.967445e+00
Gb240,9,1.200000e-01,0,0,2.201197e+00
Gb240,10,1,180,1,1.650696e+00
Gb240,11,6.000000e-02,0,0,2.084177e+00
Gb240,12,1.200000e-01,180,0,2.784497e+00
Gb240,13,4.800000e-01,0,0,4.585133e+00
Gb240,14,4.800000e-01,180,1,3.143662e+00
Gb240,15,2.400000e-01,180,1,2.667920e+00
Gb240,16,6.000000e-02,0,1,4.584824e+00
Gb240,17,6.000000e-02,180,1,1.017315e+00
Gb240,18,1.200000e-01,0,1,3.501114e+00
Gb240,19,6.000000e-02,0,0,1.293584e+00
Gb240,20,2.400000e-01,0,1,1.167693e+00
Gb240,21,1.200000e-01,0,0,1.084387e+00
Gb240,22,1.200000e-01,180,1,1.734417e+00
Gb240,23,4.800000e-01,180,1,1.776076e+00
Gb240,24,1,0,1,2.092740e+00
Gb240,25,4.800000e-01,180,0,5.084754e+00
Gb240,26,4.800000e-01,0,0,2.368044e+00
Gb240,27,6.000000e-02,0,0,3.951448e+00
Gb240,28,2.400000e-01,0,1,1.434350e+00
Gb240,29,6.000000e-02,180,1,1.117622e+00
Gb240,30,6.000000e-02,180,1,1.075648e+00
Gb240,31,6.000000e-02,0,1,2.317792e+00
Gb240,32,1.200000e-01,180,1,9.009480e-01
Gb240,33,4.800000e-01,0,1,7.592070e-01
Gb240,34,4.800000e-01,0,0,1.676769e+00
Gb240,35,1,0,1,2.334523e+00
Gb240,36,2.400000e-01,180,1,2.159363e+00
Gb240,37,1,180,1,1.893507e+00
Gb240,38,1,0,1,2.150979e+00
Gb240,39,1,180,1,2.368882e+00
Gb240,40,4.800000e-01,180,1,3.392547e+00
Gb240,41,4.800000e-01,0,1,1.884428e+00
Gb240,42,1,0,1,1.392437e+00
Gb240,43,1,0,1,1.459045e+00
Gb240,44,1,180,1,1.076020e+00
Gb240,45,1.200000e-01,180,1,1.842718e+00
Gb240,46,1.200000e-01,0,1,1.334130e+00
Gb240,47,2.400000e-01,0,1,2.834494e+00
Gb240,48,2.400000e-01,180,0,2.242784e+00
Gb240,49,1,180,1,1.609283e+00
Gb240,50,6.000000e-02,180,1,1.551106e+00
