SubjectID,Trial,Coherence,Direction,Response,RT
GC830,1,1,0,1,1.117510e+00
GC830,2,6.000000e-02,180,1,9.673460e-01
GC830,3,6.000000e-02,0,1,7.842879e-01
GC830,4,1.200000e-01,0,1,4.026223e+00
GC830,5,2.400000e-01,180,0,2.109150e+00
GC830,6,4.800000e-01,180,1,8.648157e-03
GC830,7,1.200000e-01,180,1,1.250684e+00
GC830,8,1.200000e-01,180,1,8.257370e-01
GC830,9,6.000000e-02,0,1,1.000594e+00
GC830,10,2.400000e-01,0,1,8.507061e-01
GC830,11,1.200000e-01,0,0,1.058943e+00
GC830,12,1,0,1,2.059725e+00
GC830,13,2.400000e-01,180,0,1.800785e+00
GC830,14,1,180,1,8.896112e-03
GC830,15,1,180,0,2.101190e+00
GC830,16,1,180,1,9.217024e-03
GC830,17,1,0,0,5.559981e+00
GC830,18,4.800000e-01,180,0,1.684179e+00
GC830,19,4.800000e-01,0,0,8.991003e-03
GC830,20,2.400000e-01,0,0,8.862972e-03
GC830,21,6.000000e-02,180,0,1.054978e-02
GC830,22,1.200000e-01,0,1,8.872986e-03
GC830,23,2.400000e-01,0,0,2.641012e+00
GC830,24,1.200000e-01,180,0,6.507201e-01
GC830,25,1.200000e-01,180,0,4.476191e+00
GC830,26,1,180,1,3.259321e+00
GC830,27,6.000000e-02,0,1,1.246786e+01
GC830,28,1,0,0,1.133930e+00
GC830,29,2.400000e-01,0,1,2.584170e+00
GC830,30,1.200000e-01,0,1,2.217456e+00
GC830,31,6.000000e-02,180,1,3.876906e+00
GC830,32,2.400000e-01,180,0,1.809457e+00
GC830,33,4.800000e-01,0,0,1.484127e+00
GC830,34,4.800000e-01,0,1,9.343350e-01
GC830,35,6.000000e-02,0,1,1.551028e+00
GC830,36,2.400000e-01,180,1,1.776018e+00
GC830,37,6.000000e-02,180,1,2.293683e+00
GC830,38,2.400000e-01,180,1,2.417347e+00
GC830,39,1,180,1,1.259002e+00
GC830,40,4.800000e-01,0,1,6.422482e-01
GC830,41,6.000000e-02,0,0,1.242447e+00
GC830,42,4.800000e-01,180,0,7.340720e-01
GC830,43,6.000000e-02,180,0,2.090318e-01
GC830,44,2.400000e-01,0,0,1.753581e-01
GC830,45,1.200000e-01,180,1,4.918172e+00
GC830,46,1,0,1,1.750665e+00
GC830,47,4.800000e-01,180,0,1.742453e+00
GC830,48,4.800000e-01,180,1,1.284840e+00
GC830,49,1.200000e-01,0,1,4.459648e+00
GC830,50,4.800000e-01,0,0,9.755199e-01
