SubjectID,Trial,Coherence,Direction,Response,RT
HB631,1,2.400000e-01,180,1,2.590771e+00
HB631,2,1.200000e-01,0,1,9.246588e-02
HB631,3,6.000000e-02,180,1,8.782148e-03
HB631,4,4.800000e-01,0,1,2.051304e+00
HB631,5,4.800000e-01,180,1,8.343050e-01
HB631,6,1.200000e-01,180,1,4.034402e+00
HB631,7,1.200000e-01,180,1,1.234338e+00
HB631,8,6.000000e-02,0,1,4.568278e+00
HB631,9,2.400000e-01,180,1,1.292908e+00
HB631,10,4.800000e-01,180,1,4.593139e+00
HB631,11,4.800000e-01,180,0,3.834571e+00
HB631,12,6.000000e-02,180,1,2.442459e+00
HB631,13,1,0,1,1.675934e+00
HB631,14,4.800000e-01,180,1,2.276289e+00
HB631,15,2.400000e-01,0,1,4.172549e-01
HB631,16,6.000000e-02,180,1,2.575868e+00
HB631,17,1.200000e-01,0,1,6.826741e+00
HB631,18,1,0,1,3.342774e+00
HB631,19,1,180,0,3.226029e+00
HB631,20,1,0,1,3.576096e+00
HB631,21,2.400000e-01,180,0,1.975883e+00
HB631,22,2.400000e-01,0,1,1.004391e-01
HB631,23,4.800000e-01,0,1,1.020291e+01
HB631,24,1.200000e-01,0,0,6.818476e+00
HB631,25,2.400000e-01,180,0,2.709399e+00
HB631,26,1,180,1,9.254322e-01
HB631,27,6.000000e-02,180,0,3.159702e+00
HB631,28,1,180,1,1.467737e+00
HB631,29,6.000000e-02,0,1,1.242592e+00
HB631,30,1.200000e-01,180,1,8.924100e-01
HB631,31,1,0,0,1.533954e+00
HB631,32,6.000000e-02,180,1,6.842430e-01
HB631,33,2.400000e-01,0,1,8.965969e-03
HB631,34,1.200000e-01,0,0,1.067661e+00
HB631,35,4.800000e-01,180,1,3.592269e-01
HB631,36,2.400000e-01,0,1,5.756330e-01
HB631,37,4.800000e-01,0,1,3.026162e+00
HB631,38,1.200000e-01,0,0,6.175890e-01
HB631,39,6.000000e-02,0,1,2.851210e+00
HB631,40,1,180,1,1.058961e+00
HB631,41,2.400000e-01,180,1,2.550953e+00
HB631,42,6.000000e-02,0,1,1.609385e+00
HB631,43,1.200000e-01,180,1,1.317528e+00
HB631,44,6.000000e-02,0,1,7.592480e-01
HB631,45,1.200000e-01,180,1,7.175002e-01
HB631,46,2.400000e-01,0,1,1.009223e+00
HB631,47,4.800000e-01,0,0,4.089470e-01
HB631,48,1,180,0,8.927951e-01
HB631,49,4.800000e-01,0,1,1.950888e+00
HB631,50,1,0,1,8.840849e-01
