SubjectID,Trial,Coherence,Direction,Response,RT
HC1024,1,1.200000e-01,180,1,1.434130e+00
HC1024,2,4.800000e-01,0,1,7.006521e-01
HC1024,3,2.400000e-01,180,1,9.256980e-01
HC1024,4,2.400000e-01,0,1,1.284031e+00
HC1024,5,6.000000e-02,0,1,1.367383e+00
HC1024,6,4.800000e-01,180,1,9.339950e-01
HC1024,7,1,0,0,1.450872e+00
HC1024,8,2.400000e-01,180,1,1.284294e+00
HC1024,9,4.800000e-01,0,1,1.150751e+00
HC1024,10,4.800000e-01,180,1,9.091771e-01
HC1024,11,1.200000e-01,0,1,1.375770e+00
HC1024,12,6.000000e-02,180,0,4.659614e+00
HC1024,13,2.400000e-01,0,1,1.284178e+00
HC1024,14,1.200000e-01,180,1,1.009188e+00
HC1024,15,6.000000e-02,0,1,7.590492e-01
HC1024,16,2.400000e-01,180,1,6.018400e-01
HC1024,17,1.200000e-01,0,1,9.756670e-01
HC1024,18,1,0,1,2.259183e+00
HC1024,19,1,180,1,2.435246e+00
HC1024,20,6.000000e-02,0,1,2.542604e+00
HC1024,21,2.400000e-01,0,1,2.250824e+00
HC1024,22,1,180,1,2.492644e+00
HC1024,23,4.800000e-01,0,1,1.058998e+00
HC1024,24,2.400000e-01,0,1,1.892514e+00
HC1024,25,2.400000e-01,0,1,1.275819e+00
HC1024,26,4.800000e-01,0,1,1.242345e+00
HC1024,27,1.200000e-01,0,1,6.243336e+00
HC1024,28,1.200000e-01,180,1,1.892504e+00
HC1024,29,1,180,1,1.925991e+00
HC1024,30,1.200000e-01,0,1,1.025846e+00
HC1024,31,6.000000e-02,180,1,1.675924e+00
HC1024,32,1.200000e-01,180,1,9.008360e-01
HC1024,33,2.400000e-01,180,1,1.275493e+00
HC1024,34,1.200000e-01,0,1,1.000736e+00
HC1024,35,6.000000e-02,180,0,2.792563e+00
HC1024,36,1,0,0,1.317649e+00
HC1024,37,1,0,0,1.525940e+00
HC1024,38,4.800000e-01,180,1,1.159025e+00
HC1024,39,1.200000e-01,180,1,1.384358e+00
HC1024,40,4.800000e-01,180,0,1.726014e+00
HC1024,41,6.000000e-02,180,1,6.924472e-01
HC1024,42,6.000000e-02,0,1,9.008489e-01
HC1024,43,6.000000e-02,180,1,9.676061e-01
HC1024,44,4.800000e-01,0,1,8.339829e-01
HC1024,45,1,180,1,4.309884e+00
HC1024,46,1,0,0,1.342591e+00
HC1024,47,2.400000e-01,180,1,1.408955e+00
HC1024,48,1,180,1,2.101818e+00
HC1024,49,4.800000e-01,180,1,1.159939e+00
HC1024,50,6.000000e-02,0,1,1.358930e+00
