SubjectID,Trial,Coherence,Direction,Response,RT
IB642,1,1,180,1,1.834205e+00
IB642,2,2.400000e-01,180,1,2.892780e+00
IB642,3,4.800000e-01,0,1,1.742517e+00
IB642,4,1,180,1,1.075559e+00
IB642,5,6.000000e-02,180,0,1.259140e+00
IB642,6,1.200000e-01,180,1,6.926200e-01
IB642,7,6.000000e-02,180,1,2.567849e+00
IB642,8,1.200000e-01,180,1,5.718294e+00
IB642,9,4.800000e-01,180,1,1.701219e+00
IB642,10,1,0,1,1.234464e+00
IB642,11,2.400000e-01,0,0,2.868473e+00
IB642,12,6.000000e-02,0,0,7.893731e+00
IB642,13,2.400000e-01,0,1,2.167744e+00
IB642,14,1.200000e-01,180,1,2.575897e+00
IB642,15,1,0,1,5.590570e-01
IB642,16,1.200000e-01,180,1,9.423778e-01
IB642,17,1,0,1,5.590301e-01
IB642,18,1.200000e-01,0,0,9.843290e-01
IB642,19,2.400000e-01,180,0,1.559316e+00
IB642,20,2.400000e-01,0,1,2.400793e+00
IB642,21,4.800000e-01,0,0,8.764660e-01
IB642,22,6.000000e-02,180,0,7.757990e-01
IB642,23,4.800000e-01,180,1,3.326349e+00
IB642,24,2.400000e-01,180,1,2.317771e+00
IB642,25,4.800000e-01,180,1,2.518542e+00
IB642,26,2.400000e-01,0,1,2.342928e+00
IB642,27,1,180,1,1.259435e+00
IB642,28,6.000000e-02,180,1,1.434393e+00
IB642,29,6.000000e-02,0,0,9.182439e-01
IB642,30,1,0,0,2.534616e+00
IB642,31,1,0,1,8.508949e-01
IB642,32,1.200000e-01,180,0,3.426201e+00
IB642,33,2.400000e-01,180,1,6.776864e+00
IB642,34,4.800000e-01,0,1,1.775760e+00
IB642,35,6.000000e-02,0,1,1.417502e+00
IB642,36,6.000000e-02,0,1,1.942552e+00
IB642,37,2.400000e-01,180,1,1.767877e+00
IB642,38,6.000000e-02,180,0,1.376242e+00
IB642,39,1,180,1,9.754601e-01
IB642,40,1.200000e-01,0,0,1.284283e+00
IB642,41,1,180,0,2.000844e+00
IB642,42,1.200000e-01,0,0,2.884669e+00
IB642,43,4.800000e-01,180,1,2.117851e+00
IB642,44,4.800000e-01,180,1,8.933690e-01
IB642,45,4.800000e-01,0,1,1.592562e+00
IB642,46,1.200000e-01,0,1,4.234636e+00
IB642,47,6.000000e-02,0,1,3.755929e-01
IB642,48,4.800000e-01,0,1,9.298801e-03
IB642,49,2.400000e-01,0,1,3.005581e-01
IB642,50,1.200000e-01,0,1,5.881000e-02
