SubjectID,Trial,Coherence,Direction,Response,RT
IC1012,1,2.400000e-01,180,0,1.481295e+00
IC1012,2,2.400000e-01,180,1,1.284242e+00
IC1012,3,6.000000e-02,0,1,8.173499e-01
IC1012,4,1,0,0,1.709148e+00
IC1012,5,1.200000e-01,180,0,9.591410e-01
IC1012,6,1.200000e-01,0,1,1.509087e+00
IC1012,7,6.000000e-02,0,1,2.375993e+00
IC1012,8,1.200000e-01,0,1,1.225715e+00
IC1012,9,4.800000e-01,0,1,5.218070e+00
IC1012,10,6.000000e-02,180,1,1.342565e+00
IC1012,11,1,180,0,7.173660e-01
IC1012,12,1,0,1,7.923770e-01
IC1012,13,4.800000e-01,180,1,9.092410e-01
IC1012,14,1.200000e-01,180,0,6.257041e-01
IC1012,15,1,0,1,6.673150e-01
IC1012,16,2.400000e-01,0,1,1.984211e+00
IC1012,17,4.800000e-01,180,1,1.134403e+00
IC1012,18,2.400000e-01,180,1,1.609172e+00
IC1012,19,6.000000e-02,180,0,1.126053e+00
IC1012,20,1.200000e-01,180,1,7.507250e-01
IC1012,21,4.800000e-01,0,1,1.967470e+00
IC1012,22,1,0,0,1.051191e+00
IC1012,23,1,180,0,3.675730e-01
IC1012,24,6.000000e-02,180,1,6.590710e-01
IC1012,25,2.400000e-01,0,1,3.709591e+00
IC1012,26,1.200000e-01,180,1,1.167556e+00
IC1012,27,1.200000e-01,0,1,2.267563e+00
IC1012,28,1.200000e-01,0,0,1.060168e+00
IC1012,29,2.400000e-01,180,1,1.200529e+00
IC1012,30,1,0,1,6.594210e-01
IC1012,31,4.800000e-01,180,1,1.834111e+00
IC1012,32,1,180,0,1.100948e+00
IC1012,33,1.200000e-01,180,1,1.042763e+00
IC1012,34,6.000000e-02,0,0,1.142555e+00
IC1012,35,4.800000e-01,0,1,1.275874e+00
IC1012,36,1.200000e-01,0,0,1.810136e+00
IC1012,37,4.800000e-01,0,1,8.010271e-01
IC1012,38,4.800000e-01,180,0,1.284128e+00
IC1012,39,4.800000e-01,0,0,8.006129e-01
IC1012,40,2.400000e-01,0,1,8.343241e-01
IC1012,41,6.000000e-02,0,1,1.250887e+00
IC1012,42,6.000000e-02,180,0,1.150734e+00
IC1012,43,1,180,1,7.255299e-01
IC1012,44,2.400000e-01,180,0,1.634510e+00
IC1012,45,2.400000e-01,0,0,1.001061e+00
IC1012,46,2.400000e-01,0,1,2.001107e+00
IC1012,47,6.000000e-02,0,0,9.017649e-01
IC1012,48,1,180,0,6.591129e-01
IC1012,49,4.800000e-01,180,0,1.634346e+00
IC1012,50,6.000000e-02,180,1,1.034324e+00
