SubjectID,Trial,Coherence,Direction,Response,RT
JB724,1,2.400000e-01,0,1,1.384221e+00
JB724,2,1.200000e-01,180,1,2.676267e+00
JB724,3,4.800000e-01,0,1,8.834124e-03
JB724,4,1.200000e-01,0,0,1.634098e+00
JB724,5,6.000000e-02,180,1,9.923971e-01
JB724,6,1.200000e-01,0,0,4.176295e+00
JB724,7,1,0,1,1.642646e+00
JB724,8,1,0,0,1.025884e+00
JB724,9,6.000000e-02,180,0,9.507279e-01
JB724,10,4.800000e-01,0,1,1.000571e+00
JB724,11,6.000000e-02,180,1,2.359058e+00
JB724,12,2.400000e-01,180,0,2.009697e+00
JB724,13,1.200000e-01,180,0,2.134145e+00
JB724,14,4.800000e-01,0,1,1.234038e+00
JB724,15,6.000000e-02,0,0,1.309343e+00
JB724,16,2.400000e-01,180,1,1.592290e+00
JB724,17,1.200000e-01,180,1,9.255519e-01
JB724,18,6.000000e-02,0,0,3.375905e+00
JB724,19,1,0,0,2.109246e+00
JB724,20,1.200000e-01,180,1,8.849921e-01
JB724,21,2.400000e-01,0,1,1.400853e+00
JB724,22,2.400000e-01,180,1,3.460370e+00
JB724,23,6.000000e-02,180,1,1.192632e+00
JB724,24,4.800000e-01,180,1,1.484425e+00
JB724,25,2.400000e-01,0,1,9.341931e-01
JB724,26,1.200000e-01,180,0,1.217662e+00
JB724,27,2.400000e-01,0,1,8.173089e-01
JB724,28,1.200000e-01,0,0,2.276164e+00
JB724,29,6.000000e-02,0,1,3.718015e+00
JB724,30,1,180,0,3.000989e+00
JB724,31,1,180,1,4.159852e+00
JB724,32,1,0,1,9.341559e-01
JB724,33,1,180,1,1.292258e+00
JB724,34,4.800000e-01,0,1,1.026023e+00
JB724,35,2.400000e-01,0,1,9.256930e-01
JB724,36,6.000000e-02,0,0,7.425158e-01
JB724,37,4.800000e-01,180,0,1.834183e+00
JB724,38,6.000000e-02,180,1,7.841060e-01
JB724,39,4.800000e-01,180,1,1.459274e+00
JB724,40,1,180,0,1.201098e+00
JB724,41,4.800000e-01,0,1,1.017382e+00
JB724,42,2.400000e-01,180,1,8.591690e-01
JB724,43,1,180,1,1.267984e+00
JB724,44,1,0,1,5.642983e+00
JB724,45,6.000000e-02,0,0,9.424591e-01
JB724,46,4.800000e-01,180,0,3.526311e+00
JB724,47,2.400000e-01,180,1,7.591360e-01
JB724,48,1.200000e-01,0,1,1.884315e+00
JB724,49,1.200000e-01,0,0,7.255349e-01
JB724,50,4.800000e-01,180,0,1.609387e+00
