SubjectID,Trial,Coherence,Direction,Response,RT
JC1101,1,2.400000e-01,0,1,1.525734e+00
JC1101,2,1.200000e-01,180,1,2.684408e+00
JC1101,3,1,0,1,1.909240e+00
JC1101,4,4.800000e-01,0,1,1.509158e+00
JC1101,5,1,0,1,2.634242e+00
JC1101,6,6.000000e-02,180,1,2.359425e+00
JC1101,7,4.800000e-01,0,1,1.025713e+00
JC1101,8,1,0,1,1.659452e+00
JC1101,9,2.400000e-01,180,1,8.672521e-01
JC1101,10,4.800000e-01,180,1,3.010576e+00
JC1101,11,4.800000e-01,180,1,1.292405e+00
JC1101,12,6.000000e-02,0,1,3.592974e+00
JC1101,13,6.000000e-02,0,1,1.217435e+00
JC1101,14,1,0,0,2.217682e+00
JC1101,15,6.000000e-02,0,1,1.317532e+00
JC1101,16,1,180,1,1.234268e+00
JC1101,17,4.800000e-01,180,1,9.421952e-01
JC1101,18,1.200000e-01,180,0,1.375811e+00
JC1101,19,1.200000e-01,180,1,9.175570e-01
JC1101,20,2.400000e-01,0,1,1.159132e+00
JC1101,21,4.800000e-01,180,1,9.339180e-01
JC1101,22,2.400000e-01,0,1,1.134339e+00
JC1101,23,2.400000e-01,180,1,7.517550e-01
JC1101,24,6.000000e-02,180,0,1.642646e+00
JC1101,25,1.200000e-01,0,0,1.576082e+00
JC1101,26,6.000000e-02,180,0,1.842537e+00
JC1101,27,1.200000e-01,180,1,1.159111e+00
JC1101,28,1,180,0,1.809292e+00
JC1101,29,4.800000e-01,0,0,1.559028e+00
JC1101,30,2.400000e-01,180,0,1.258951e+00
JC1101,31,2.400000e-01,180,0,3.200984e+00
JC1101,32,1,180,1,7.341471e-01
JC1101,33,4.800000e-01,0,0,1.384411e+00
JC1101,34,2.400000e-01,0,1,2.526222e+00
JC1101,35,1.200000e-01,0,1,3.009336e+00
JC1101,36,1,0,0,2.175827e+00
JC1101,37,4.800000e-01,0,1,2.301159e+00
JC1101,38,1.200000e-01,180,1,3.584284e+00
JC1101,39,1.200000e-01,0,1,2.376022e+00
JC1101,40,6.000000e-02,0,0,4.251407e+00
JC1101,41,6.000000e-02,0,1,2.001061e+00
JC1101,42,2.400000e-01,180,1,1.159174e+00
JC1101,43,1,180,1,1.859039e+00
JC1101,44,6.000000e-02,180,1,2.676298e+00
JC1101,45,1.200000e-01,0,1,1.667590e+00
JC1101,46,6.000000e-02,180,0,4.126163e+00
JC1101,47,2.400000e-01,0,1,2.434257e+00
JC1101,48,1.200000e-01,0,1,3.309585e+00
JC1101,49,1,180,0,2.042608e+00
JC1101,50,4.800000e-01,180,1,1.725802e+00
