SubjectID,Trial,Coherence,Direction,Response,RT
KB509,1,1.200000e-01,180,1,7.341092e-01
KB509,2,2.400000e-01,180,0,1.109165e+00
KB509,3,1,0,1,7.340510e-01
KB509,4,6.000000e-02,180,1,8.590090e-01
KB509,5,2.400000e-01,180,1,7.507770e-01
KB509,6,1,0,1,5.674739e-01
KB509,7,6.000000e-02,180,1,6.839070e-01
KB509,8,6.000000e-02,0,0,1.009068e+00
KB509,9,1.200000e-01,180,1,1.542487e+00
KB509,10,1.200000e-01,180,1,1.042483e+00
KB509,11,6.000000e-02,180,1,1.134169e+00
KB509,12,6.000000e-02,0,0,1.034073e+00
KB509,13,1.200000e-01,0,1,2.326394e+00
KB509,14,4.800000e-01,0,1,1.784251e+00
KB509,15,1,180,1,7.340350e-01
KB509,16,4.800000e-01,0,1,1.025928e+00
KB509,17,2.400000e-01,0,1,8.257101e-01
KB509,18,6.000000e-02,0,1,1.234077e+00
KB509,19,1,0,1,7.590070e-01
KB509,20,2.400000e-01,180,1,5.507250e-01
KB509,21,4.800000e-01,0,1,5.341821e-01
KB509,22,4.800000e-01,0,1,5.172088e-01
KB509,23,1,180,1,1.009860e+00
KB509,24,2.400000e-01,0,1,6.924429e-01
KB509,25,1.200000e-01,180,1,6.504672e-01
KB509,26,2.400000e-01,0,1,5.423219e-01
KB509,27,2.400000e-01,180,1,6.764421e-01
KB509,28,1.200000e-01,0,1,5.757549e-01
KB509,29,6.000000e-02,180,1,5.006640e-01
KB509,30,6.000000e-02,180,1,6.338611e-01
KB509,31,6.000000e-02,0,1,5.007520e-01
KB509,32,1,180,1,4.421971e-01
KB509,33,4.800000e-01,0,1,4.172490e-01
KB509,34,1.200000e-01,180,1,5.590520e-01
KB509,35,4.800000e-01,180,1,5.841830e-01
KB509,36,1,0,1,4.756911e-01
KB509,37,6.000000e-02,0,0,4.258189e-01
KB509,38,1.200000e-01,0,1,9.340630e-01
KB509,39,1,0,1,5.173490e-01
KB509,40,4.800000e-01,180,1,5.089681e-01
KB509,41,2.400000e-01,0,1,4.840870e-01
KB509,42,1.200000e-01,0,1,7.172799e-01
KB509,43,4.800000e-01,180,1,4.423370e-01
KB509,44,2.400000e-01,180,1,7.340722e-01
KB509,45,1,180,1,4.505401e-01
KB509,46,1,180,1,4.766040e-01
KB509,47,1.200000e-01,0,1,6.088669e-01
KB509,48,4.800000e-01,180,1,5.258200e-01
KB509,49,2.400000e-01,0,1,4.424171e-01
KB509,50,4.800000e-01,180,1,3.088579e-01
