SubjectID,Trial,Coherence,Direction,Response,RT
KC979,1,1.200000e-01,180,1,2.775874e+00
KC979,2,1,180,0,7.043263e+00
KC979,3,6.000000e-02,180,0,1.290413e+01
KC979,4,1,0,0,8.919954e-03
KC979,5,4.800000e-01,0,1,9.073968e-01
KC979,6,1.200000e-01,0,0,1.542212e+00
KC979,7,2.400000e-01,180,0,9.135962e-03
KC979,8,1.200000e-01,0,1,8.755960e-01
KC979,9,1,0,0,1.183895e+00
KC979,10,4.800000e-01,180,0,1.217420e+00
KC979,11,2.400000e-01,180,1,1.200885e+00
KC979,12,6.000000e-02,180,1,8.674021e-01
KC979,13,2.400000e-01,180,1,4.755139e-01
KC979,14,4.800000e-01,180,1,4.339340e-01
KC979,15,4.800000e-01,180,1,1.092434e+00
KC979,16,1.200000e-01,180,1,1.592604e+00
KC979,17,6.000000e-02,180,1,5.842850e-01
KC979,18,1,180,1,4.590499e-01
KC979,19,2.400000e-01,0,0,6.174309e-01
KC979,20,1.200000e-01,180,0,8.591199e-01
KC979,21,6.000000e-02,0,0,7.674329e-01
KC979,22,1.200000e-01,0,1,5.506430e-01
KC979,23,6.000000e-02,0,1,6.340179e-01
KC979,24,1,180,0,3.838789e-01
KC979,25,6.000000e-02,0,0,6.426921e-01
KC979,26,6.000000e-02,0,0,9.593019e-01
KC979,27,1.200000e-01,180,0,8.257041e-01
KC979,28,2.400000e-01,0,0,1.676086e+00
KC979,29,2.400000e-01,0,1,1.384259e+00
KC979,30,2.400000e-01,180,0,1.400652e+00
KC979,31,6.000000e-02,180,0,3.292617e+00
KC979,32,1,180,1,3.301513e+00
KC979,33,6.000000e-02,0,0,3.251404e+00
KC979,34,1,0,1,6.785083e+00
KC979,35,4.800000e-01,180,0,1.250428e+01
KC979,36,1,0,0,4.876668e+00
KC979,37,1,0,0,3.701480e+00
KC979,38,4.800000e-01,0,1,8.946180e-03
KC979,39,4.800000e-01,0,0,1.208906e+00
KC979,40,2.400000e-01,0,1,4.117833e+00
KC979,41,6.000000e-02,180,1,2.943786e+00
KC979,42,4.800000e-01,0,1,7.618708e+00
KC979,43,4.800000e-01,180,1,2.635504e+00
KC979,44,1.200000e-01,180,0,7.077108e+00
KC979,45,4.800000e-01,0,1,3.651020e+00
KC979,46,1,180,1,2.175984e+00
KC979,47,2.400000e-01,180,0,1.359256e+00
KC979,48,1.200000e-01,0,0,1.727700e-02
KC979,49,2.400000e-01,0,0,1.016784e-02
KC979,50,1.200000e-01,0,1,8.827925e-03
