SubjectID,Trial,Coherence,Direction,Response,RT
LC1078,1,1,180,1,1.443070e+00
LC1078,2,1.200000e-01,0,1,1.250764e+00
LC1078,3,1.200000e-01,180,1,8.254950e-01
LC1078,4,2.400000e-01,180,1,8.256781e-01
LC1078,5,1,0,1,6.173329e-01
LC1078,6,1.200000e-01,0,1,2.559232e+00
LC1078,7,4.800000e-01,0,1,6.340261e-01
LC1078,8,2.400000e-01,180,1,9.173849e-01
LC1078,9,2.400000e-01,0,1,7.840478e-01
LC1078,10,6.000000e-02,180,1,7.088130e-01
LC1078,11,6.000000e-02,180,0,1.025782e+00
LC1078,12,1.200000e-01,180,1,8.005888e-01
LC1078,13,6.000000e-02,180,1,3.809410e+00
LC1078,14,1,180,1,6.591170e-01
LC1078,15,4.800000e-01,180,1,1.225746e+00
LC1078,16,4.800000e-01,180,1,7.924278e-01
LC1078,17,1,0,1,6.339900e-01
LC1078,18,6.000000e-02,0,0,2.085484e+00
LC1078,19,6.000000e-02,0,1,1.792561e+00
LC1078,20,2.400000e-01,0,1,1.208992e+00
LC1078,21,4.800000e-01,0,1,7.005610e-01
LC1078,22,2.400000e-01,180,1,9.841230e-01
LC1078,23,6.000000e-02,180,1,4.042790e+00
LC1078,24,6.000000e-02,0,1,9.342041e-01
LC1078,25,1.200000e-01,0,1,2.000815e+00
LC1078,26,6.000000e-02,180,1,2.392649e+00
LC1078,27,1.200000e-01,0,1,7.592149e-01
LC1078,28,4.800000e-01,180,1,8.102701e-01
LC1078,29,2.400000e-01,180,1,1.884262e+00
LC1078,30,4.800000e-01,180,1,2.542975e+00
LC1078,31,4.800000e-01,0,1,6.338818e-01
LC1078,32,1.200000e-01,0,0,1.146912e+01
LC1078,33,1,180,1,8.007121e-01
LC1078,34,2.400000e-01,0,1,8.923688e-01
LC1078,35,2.400000e-01,0,1,2.767692e+00
LC1078,36,6.000000e-02,0,0,3.951366e+00
LC1078,37,2.400000e-01,180,1,1.075839e+00
LC1078,38,1,180,1,9.672768e-01
LC1078,39,4.800000e-01,0,1,6.007841e-01
LC1078,40,2.400000e-01,0,1,1.325645e+00
LC1078,41,1,0,1,7.256100e-01
LC1078,42,1.200000e-01,180,1,1.975965e+00
LC1078,43,6.000000e-02,0,0,3.184604e+00
LC1078,44,4.800000e-01,0,1,9.090669e-01
LC1078,45,1.200000e-01,180,1,1.035226e+00
LC1078,46,1,0,1,7.175410e-01
LC1078,47,1.200000e-01,180,1,1.625782e+00
LC1078,48,1,180,1,1.085137e+00
LC1078,49,1,0,1,6.173861e-01
LC1078,50,4.800000e-01,180,1,7.588141e-01
